t,s1,s5
8.066586,1.86801083,0.292539191
8.099919,1.860114558,0.28786561
8.133252,1.852567559,0.283365134
8.166585,1.844887135,0.278640952
8.199918,1.837320828,0.27391757
8.233251,1.830027229,0.269120418
8.266584,1.823073049,0.264563749
8.299917,1.816070134,0.25976926
8.33325,1.809229805,0.254850135
8.366583,1.802788018,0.249991198
8.399916,1.796818942,0.245250505
8.433249,1.791634033,0.241155362
8.466582,1.787099203,0.237255163
8.499915,1.78335067,0.233381062
8.533248,1.779625307,0.230433475
8.566581,1.776792636,0.227855269
8.599914,1.7746171,0.225328995
8.633247,1.77301148,0.223261583
8.66658,1.772062596,0.221786191
8.699913,1.771969119,0.220944899
8.733246,1.772523722,0.220584573
8.766579,1.773980338,0.220892967
8.799912,1.77515639,0.220938774
8.833245,1.777414884,0.221892718
8.866578,1.780067525,0.223212314
8.899911,1.78331525,0.224800091
8.933244,1.787042744,0.227046201
8.966577,1.791565324,0.229860896
8.99991,1.796345032,0.233107023
9.033243,1.801315689,0.236363536
9.066576,1.806628296,0.239931639
9.099909,1.812452629,0.244113069
9.133242,1.818593346,0.248739778
9.166575,1.825008369,0.25360058
9.199908,1.83150515,0.258613182
9.233241,1.838108014,0.263873546
9.266574,1.844617135,0.269195963
9.299907,1.851269401,0.274654999
9.33324,1.857776169,0.28023805
9.366573,1.864720628,0.286092477
9.399906,1.8715535,0.292026266
9.433239,1.877946552,0.297683886
9.466572,1.884155312,0.303198493
9.499905,1.889837832,0.308466892
9.533238,1.895389591,0.313518642
9.566571,1.900803265,0.318508207
9.599904,1.905764867,0.323172335
9.633237,1.91056668,0.327520078
9.66657,1.91482574,0.331551971
9.699903,1.918632329,0.335289318
9.733236,1.922199367,0.338800829
9.766569,1.925108072,0.341634566
9.799902,1.927595198,0.344056178
9.833235,1.929778458,0.346105481
9.866568,1.931674628,0.347818559
9.899901,1.932745086,0.348926034
9.933234,1.933635247,0.349776249
9.966567,1.93419531,0.350084909
9.9999,1.934088784,0.349845091
10.033233,1.933198888,0.349054399
10.066566,1.932195676,0.347778478
10.099899,1.930834135,0.346264471
10.133232,1.928929175,0.344228351
10.166565,1.926213417,0.341453338
10.199898,1.923249319,0.338422927
10.233231,1.919924495,0.335270143
10.266564,1.916047998,0.331560626
10.299897,1.911684808,0.327428732
10.33323,1.90702108,0.322943835
10.366563,1.902243902,0.318514732
10.399896,1.896951269,0.313787621
10.433229,1.89140417,0.308937073
10.466562,1.885723648,0.3041306
10.499895,1.880087733,0.299451292
10.533228,1.874363801,0.294630971
10.566561,1.868781815,0.28991611
10.599894,1.863122465,0.285481281
10.633227,1.85743888,0.280966824
10.66656,1.852066085,0.276836394
10.699893,1.847015667,0.273054439
10.733226,1.842196543,0.269730681
10.766559,1.837751461,0.266394539
10.799892,1.833907987,0.263875721
10.833225,1.830324038,0.261474748
10.866558,1.827041026,0.259552878
10.899891,1.824205692,0.257846191
10.933224,1.821901525,0.256688249
10.966557,1.820326265,0.25613005
10.99989,1.819016922,0.255787168
11.033223,1.818160982,0.255823387
11.066556,1.817735675,0.25615282
11.099889,1.817763372,0.256830595
11.133222,1.818687489,0.258257517
11.166555,1.819700822,0.25961493
11.199888,1.821003507,0.261170083
11.233221,1.822434823,0.262795277
11.266554,1.824466016,0.264780663
11.299887,1.826729969,0.266819313
11.33322,1.829335739,0.268963824
11.366553,1.832313553,0.271413
11.399886,1.835402686,0.273840871
11.433219,1.838660531,0.276338117
11.466552,1.842245412,0.278806867
11.499885,1.845843077,0.281389334
11.533218,1.849771772,0.284077796
11.566551,1.853733357,0.286792755
11.599884,1.857876437,0.289633016
11.633217,1.862060929,0.292550909
11.66655,1.866305076,0.295348426
11.699883,1.870445758,0.298087488
11.733216,1.874457012,0.300668357
11.766549,1.878420861,0.303077186
11.799882,1.882263536,0.305602129
11.833215,1.885873451,0.307873007
11.866548,1.889378836,0.310031099
11.899881,1.892667707,0.312055235
11.933214,1.895578276,0.313875772
11.966547,1.898219732,0.315345171
11.99988,1.900977968,0.316915104
12.033213,1.903344986,0.318442694
12.066546,1.90549136,0.3198306
12.099879,1.907108698,0.320913175
12.133212,1.908699671,0.321997082
12.166545,1.91013072,0.322963676
12.199878,1.911264428,0.323779402
12.233211,1.91186031,0.324323087
12.266544,1.912748341,0.325052393
12.299877,1.913501616,0.32586479
12.33321,1.91373411,0.326416065
12.366543,1.913558608,0.326513803
12.399876,1.913404411,0.326781451
12.433209,1.91316233,0.326956154
12.466542,1.912564184,0.327105824
12.499875,1.912004654,0.327260819
12.533208,1.911156304,0.327069738
12.566541,1.909809676,0.326498889
12.599874,1.908365444,0.325849078
12.633207,1.906841051,0.325086615
12.66654,1.904686021,0.323850908
12.699873,1.902888387,0.322867935
12.733206,1.900796074,0.321493345
12.766539,1.898385381,0.319889323
12.799872,1.895672951,0.317972113
12.833205,1.892700198,0.315874741
12.866538,1.889812532,0.313716515
12.899871,1.886850032,0.311452029
12.933204,1.883751577,0.309049991
12.966537,1.880582682,0.306626514
12.99987,1.877511657,0.304094247
13.033203,1.874174051,0.301274626
13.066536,1.870644164,0.298478972
13.099869,1.867305492,0.295750164
13.133202,1.864031535,0.293029878
13.166535,1.861016703,0.290409461
13.199868,1.857677898,0.287695167
13.233201,1.854976787,0.285486208
13.266534,1.852379673,0.28342652
13.299867,1.849707723,0.281242994
13.3332,1.847367737,0.279288367
13.366533,1.845005646,0.277397922
13.399866,1.843026651,0.275756616
13.433199,1.841169895,0.274206922
13.466532,1.839350157,0.272748575
13.499865,1.837836283,0.271444825
13.533198,1.836598978,0.270428562
13.566531,1.835723864,0.269579014
13.599864,1.835066196,0.268899242
13.633197,1.834154196,0.268014939
13.66653,1.833517168,0.267265526
13.699863,1.833599194,0.267299348
13.733196,1.834249804,0.26778431
13.766529,1.834840626,0.268252094
13.799862,1.835704822,0.268875806
13.833195,1.836666623,0.269588069
13.866528,1.837941078,0.270423103
13.899861,1.839445498,0.271622058
13.933194,1.841369366,0.273343259
13.966527,1.843551693,0.275044886
13.99986,1.845631622,0.276890723
14.033193,1.847896108,0.278712059
14.066526,1.850411463,0.280824744
14.099859,1.853007779,0.28293743
14.133192,1.855713151,0.285192994
14.166525,1.858383769,0.287129911
14.199858,1.861105653,0.289344463
14.233191,1.863746444,0.291353552
14.266524,1.866112662,0.293124287
14.299857,1.868496058,0.295002748
14.33319,1.871363883,0.29721224
14.366523,1.874056073,0.299325192
14.399856,1.876362903,0.300949187
14.433189,1.878658548,0.30257558
14.466522,1.880958587,0.30421116
14.499855,1.883181128,0.305871508
14.533188,1.885147606,0.307208948
14.566521,1.887057892,0.308450513
14.599854,1.88867736,0.309371168
14.633187,1.89011773,0.310325245
14.66652,1.891683669,0.311258683
14.699853,1.893073972,0.312144318
14.733186,1.894065068,0.312720493
14.766519,1.894763032,0.312988889
14.799852,1.89544342,0.313080186
14.833185,1.895900102,0.313250844
14.866518,1.896373829,0.31349767
14.899851,1.89674742,0.31375781
14.933184,1.897200907,0.313931132
14.966517,1.897629626,0.314208584
14.99985,1.897891098,0.314391227
15.033183,1.897219449,0.313692413
15.066516,1.896557387,0.31328708
15.099849,1.896403989,0.313167238
15.133182,1.895885338,0.313014506
15.166515,1.895153235,0.312519158
15.199848,1.894244964,0.311946445
15.233181,1.893287691,0.311293571
15.266514,1.892095261,0.310661736
15.299847,1.890955561,0.310013656
15.33318,1.889697217,0.3091697
15.366513,1.887724214,0.307664082
15.399846,1.885754807,0.306306669
15.433179,1.884258909,0.305434217
15.466512,1.883016278,0.304696255
15.499845,1.881955941,0.304222346
15.533178,1.880282543,0.302954548
15.566511,1.878667203,0.302041217
15.599844,1.877388886,0.301070494
15.633177,1.875679403,0.299934124
15.66651,1.874151414,0.298938767
15.699843,1.87291624,0.298348611
15.733176,1.871537788,0.297604523
15.766509,1.870071318,0.296638728
15.799842,1.868304577,0.29545229
15.833175,1.866667265,0.29438596
15.866508,1.865978039,0.294166516
15.899841,1.865204657,0.293719903
15.933174,1.863766284,0.292650378
15.966507,1.862098879,0.291328385
15.99984,1.860953986,0.290390153
16.033173,1.860283535,0.290008655
16.066506,1.86001642,0.290016911
16.099839,1.859477663,0.289665374
16.133172,1.859124927,0.289538474
16.166505,1.858728649,0.289246858
16.199838,1.858567527,0.289009837
16.233171,1.858409202,0.288899981
16.266504,1.858185763,0.288820619
16.299837,1.85853983,0.289070024
16.33317,1.858827052,0.289338338
16.366503,1.85925955,0.289702658
16.399836,1.859897909,0.290126633
16.433169,1.860696858,0.290593752
16.466502,1.861406457,0.291316401
16.499835,1.862246418,0.292001366
16.533168,1.863267341,0.292684866
16.566501,1.864267624,0.293272359
16.599834,1.865374833,0.293910053
16.633167,1.866711208,0.294577708
16.6665,1.867848644,0.2952925
16.699833,1.868996466,0.29612314
16.733166,1.87035561,0.29684206
16.766499,1.871619547,0.29754407
16.799832,1.872964177,0.298228236
16.833165,1.874131573,0.298818792
16.866498,1.875649043,0.299717875
16.899831,1.87695266,0.300593522
16.933164,1.878177315,0.301193932
16.966497,1.8794543,0.301845874
16.99983,1.880605319,0.302498082
17.033163,1.881724379,0.303077319
17.066496,1.882848499,0.303757757
17.099829,1.883634931,0.304167884
17.133162,1.884402454,0.304409965
17.166495,1.884955992,0.304428208
17.199828,1.8854058,0.304687067
17.233161,1.885992361,0.305028351
17.266494,1.886248823,0.304961506
17.299827,1.886253217,0.304815698
17.33316,1.886111937,0.304567092
17.366493,1.885963599,0.30421369
17.399826,1.885960935,0.304071477
17.433159,1.885971322,0.304188657
17.466492,1.885259858,0.303579991
17.499825,1.88479021,0.303241636
17.533158,1.88428128,0.302913002
17.566491,1.883532133,0.302226972
17.599824,1.882906556,0.301951069
17.633157,1.881873516,0.301303122
17.66649,1.88116112,0.300911104
17.699823,1.880485876,0.300502442
17.733156,1.879902643,0.300290987
17.766489,1.87899131,0.299727462
17.799822,1.877491684,0.298672318
17.833155,1.877044672,0.298809337
17.866488,1.87639819,0.298590825
17.899821,1.875257425,0.298051934
17.933154,1.874442497,0.297922505
17.966487,1.873599341,0.29771611
17.99982,1.872531813,0.297048589
18.033153,1.871818218,0.296941663
18.066486,1.870817003,0.296464025
18.099819,1.870216061,0.296170145
18.133152,1.869586756,0.296056162
18.166485,1.868852922,0.295788913
18.199818,1.868196719,0.295513809
18.233151,1.867792584,0.295237772
18.266484,1.867269539,0.29509982
18.299817,1.866733845,0.29487971
18.33315,1.866310002,0.294731772
18.366483,1.866121983,0.294522713
18.399816,1.86592704,0.29435813
18.433149,1.865579098,0.294169978
18.466482,1.865404261,0.29409501
18.499815,1.865435553,0.294121774
18.533148,1.86545566,0.294112853
18.566481,1.865449402,0.294010987
18.599814,1.865536887,0.294049736
18.633147,1.86557963,0.293901531
18.66648,1.865868184,0.293920306
18.699813,1.865942486,0.293776762
18.733146,1.86628923,0.293938948
18.766479,1.866895765,0.294193414
18.799812,1.867420407,0.294408863
18.833145,1.867857565,0.294782904
18.866478,1.868409505,0.295141765
18.899811,1.869000461,0.295727128
18.933144,1.869564918,0.296135524
18.966477,1.870392096,0.296741127
18.99981,1.871233921,0.297277221
19.033143,1.872077877,0.297921972
19.066476,1.872643399,0.298577776
19.099809,1.873309988,0.299114669
19.133142,1.874006272,0.299655424
19.166475,1.874789774,0.300211758
19.199808,1.87558739,0.300671153
19.233141,1.876339467,0.301232548
19.266474,1.87695479,0.301601529
19.299807,1.877840158,0.302346548
19.33314,1.878781319,0.303059743
19.366473,1.879513289,0.303479856
19.399806,1.880103313,0.303751099
19.433139,1.88058175,0.304068415
19.466472,1.88118429,0.304552711
19.499805,1.88168523,0.304871225
19.533138,1.882534246,0.305507188
19.566471,1.883128264,0.305868712
19.599804,1.883421611,0.306040086
19.633137,1.88356409,0.306244084
19.66647,1.883494049,0.306121712
19.699803,1.883368881,0.306002003
19.733136,1.88380484,0.306524781
19.766469,1.883998985,0.30695142
19.799802,1.88394399,0.307010409
19.833135,1.883694585,0.307085643
19.866468,1.883574077,0.307048758
19.899801,1.883473942,0.307329988
19.933134,1.88328872,0.307326127
19.966467,1.88288099,0.306970062
19.9998,1.882346227,0.306798554
20.033133,1.882021321,0.30675115
20.066466,1.881332095,0.306286695
20.099799,1.880770301,0.305901735
20.133132,1.880519964,0.305785621
20.166465,1.880038731,0.305532088
20.199798,1.879519681,0.305108113
20.233131,1.878797698,0.304480938
20.266464,1.878112333,0.303927933
20.299797,1.877399405,0.303423797
20.33313,1.876835481,0.302959741
20.366463,1.876093258,0.302197544
20.399796,1.875394045,0.301565443
20.433129,1.87489417,0.300974754
20.466462,1.874168325,0.300390323
20.499795,1.873373505,0.299572333
20.533128,1.872898796,0.29910082
20.566461,1.872584676,0.298766194
20.599794,1.872026744,0.298143814
20.633127,1.871684794,0.297620502
20.66646,1.871168141,0.297091066
20.699793,1.870742435,0.29675351
20.733126,1.870281974,0.296205964
20.766459,1.869612988,0.295716209
20.799792,1.869053191,0.295262406
20.833125,1.868667166,0.29508757
20.866458,1.868949861,0.295396363
20.899791,1.868901924,0.295519401
20.933124,1.868803387,0.295427522
20.966457,1.868597791,0.295188637
20.99979,1.868447189,0.295018328
21.033123,1.868672093,0.295430452
21.066456,1.868808181,0.29553538
21.099789,1.868985947,0.295857756
21.133122,1.869201929,0.295962951
21.166455,1.869402731,0.296121675
21.199788,1.869487287,0.296164952
21.233121,1.869827905,0.2963559
21.266454,1.87009036,0.296480936
21.299787,1.870179309,0.296581071
21.33312,1.870566,0.296684401
21.366453,1.870835645,0.296602509
21.399786,1.871427932,0.296997456
21.433119,1.871753237,0.297123556
21.466452,1.8718575,0.297105314
21.499785,1.87223234,0.297262041
21.533118,1.873017706,0.297653526
